title,content
资料来源与免责说明,内容由《猫咪指南》、群聊与《新手养猫清单》等整理为可检索要点，非完整转载。；涉及用药、剂量、绝育与驱虫等务必遵医嘱；品牌与经验仅供选购参考。
新手养猫清单（速查）,猫粮、猫砂、猫砂盆、猫碗、水碗/餐盘、航空箱、猫抓板；自动饮水机需勤洗、定期换滤芯；自动喂食器：多猫可看霍曼（可改双碗）；霍曼无 App，要注意是否断电、堵粮。单猫可看小佩，摄像头视野大。
接猫第一周,先让猫适应环境，减少强干扰；固定喂食与铲屎节奏，观察吃喝拉撒；TP-Link 类宠物监控可辅助观察（部分功能需付费，文档提及）
幼猫注意事项,少量多餐，注意保暖与驱虫疫苗时间表；满月左右长牙后，可用幼猫粮（如皇家幼猫粮等个案）泡羊奶粉至泡软，牙长齐再过渡到干粮；异常发热、拒食、呼吸急促等尽快就医
猫癣,真菌感染；常见诱因：抵抗力低、环境潮湿、幼猫免疫系统不稳定。；处理思路：外用抗真菌药、环境消毒、提高抵抗力；用药须由兽医决定。；次氯酸类环境消毒相对适合养宠家庭，按说明使用并保持通风。；群友个案（幼猫）：兽医方案下盐酸特比萘芬喷剂外用时勿与碘伏同擦同喷，以免相互作用或刺激。；伊曲康唑等口服抗真菌有肝毒性讨论，是否内服、剂量仅由兽医权衡，勿自喂。；营养补剂按产品与医嘱；常活动区域可每日次氯酸消杀数次、床底等死角勤拖扫后再喷；适度晒太阳、防中暑。
去猫尿气味,猫尿异味多与尿酸结晶有关；普通清洁剂常只能遮盖，易反复。；群友配方：过氧化氢 + 小苏打 + 少量洗洁精，混匀溶解后装喷壶，直喷尿过处，不要额外加水稀释；可去味并帮助分解尿渍；布艺先吸干再处理，不显眼处先小范围测试防褪色。
梳毛,作用：减浮毛与毛球、顺带检查皮肤被毛。；短毛猫约每周 2～3 次；长毛猫建议每天，防打结。；短毛：kingpet 针梳；排梳可用喵梵思替代。；长毛：船记 DL103 + kingpet 针梳 + 修眉刀（仅剪开部分打结的毛束，勿贴皮操作）。
刚出生的小猫 · 0～1 个月,羊奶粉功课常提 MAG（营养向）、麦德氏（0 乳糖、偏玻璃胃个案）。；不要喂牛奶：乳糖不耐可致腹泻呕吐脱水，须专用猫奶粉。；新生奶猫极脆弱，拿不准请联系兽医或救助机构。
新生奶猫照护 · 保暖,温度参考：第 1 周约 30～32℃，之后每周约降 2～3℃，第 4 周约 24℃（以实测与兽医为准）。；可用电热毯低温、裹毛巾热水袋、保温灯；窝宜一半暖一半凉，避免空调冷风直吹；软垫尿垫勤换。；失温危险：体温过低可拒奶、无力；回温须缓慢，忌骤热。
新生奶猫照护 · 喂食,母乳优先；初乳（出生 24 小时内）重要。奶水不足再补配方奶，严禁牛奶。；参考频次：0～1 周约每 2 小时 2～4ml；2～3 周约每 3～4 小时 5～10ml；夜间也要喂（个体差大，遵医嘱）。；奶瓶或去针针管，俯卧、头微抬防呛。呛奶则停喂、头低位轻拍背、清口鼻，必要时就医。
新生奶猫照护 · 排泄、监测、卫生与其他,③ 排泄辅助：喂奶前后用温湿棉球轻按肛门与尿道口至排尿便；正常约每日小便数次、大便 1～2 次。；④ 健康监测：每日固定时间称重，正常每天约增重 5～10 克；停滞或下降警惕脱水或疾病。；⑤ 卫生与安全：及时清排泄物换垫料；忌洗澡，可温湿布轻擦后立即保暖；远离其他宠物、儿童和坠落。；⑥ 其他：母猫在时少打扰防弃养；3～4 周龄起可泡软粮过渡到固体；4 周龄后渐进接触人与声音。；紧急：低温——裹巾贴近体温或温水袋旁缓慢回温。呛奶——头低拍背、清理口鼻。
