"疾病名称","症状","原因","治疗方法","预防措施","是否常见","相关药品","是否需就医","","","","","","","","","","","",""
"猫藓","掉毛、皮肤结痂、圆形脱毛区、瘙痒","真菌感染（主要是犬小孢子菌）","1.外用盐酸特比萘芬喷剂<br>2.环境消毒（次氯酸溶液每天消杀两次）<br>3.营养补充（营养补剂一顿饭两泵）<br>4.多晒太阳<br>5.隔离患病猫<br>6.严重时可口服伊曲康唑（需医生指导）","1.保持环境干燥通风<br>2.避免接触患病猫<br>3.增强免疫力<br>4.定期消毒环境<br>5.注意补充营养","是","盐酸特比萘芬喷剂、次氯酸溶液、营养补剂","建议就医","","","","","","","","","","","",""
"上呼吸道感染（猫鼻支）","打喷嚏、流鼻涕、眼部分泌物、发烧、食欲下降","疱疹病毒感染","1.多西环素（一次半粒，一天两次）<br>2.速诺片剂（1-2kg半片，2-4kg一片）<br>3.生理盐水清洁眼鼻<br>4.补充营养增强免疫力<br>5.保持环境温暖<br>6.严重时输液治疗","1.接种猫三联疫苗<br>2.避免接触患病猫<br>3.减少应激<br>4.保持环境清洁<br>5.增强免疫力","是","多西环素、速诺片剂、生理盐水、乳铁蛋白","建议就医","","","","","","","","","","","",""
"消化系统腹泻","拉稀、软便、可能带血、脱水","换粮过快、食物不耐受、寄生虫、细菌感染、应激","1.益生菌调理肠胃<br>2.严重时禁食12-24小时<br>3.提供充足水分<br>4.喂食清淡食物<br>5.寄生虫感染需驱虫<br>6.细菌感染需抗生素（速诺）","1.缓慢换粮（7天换粮法）<br>2.避免喂食变质食物<br>3.定期驱虫<br>4.减少应激<br>5.保持食物和水清洁","是","益生菌、速诺片剂","严重时需就医","","","","","","","","","","","",""
"泌尿系统疾病","尿频、尿血、排尿困难、乱尿、甚至尿闭","膀胱炎、尿结石、应激、饮水不足","1.增加饮水量<br>2.更换泌尿健康猫粮<br>3.使用自动饮水机<br>4.抗生素治疗（遵医嘱）<br>5.尿闭需立即导尿<br>6.减少应激","1.多喝水<br>2.避免应激<br>3.定期体检<br>4.注意观察排尿情况<br>5.保持猫砂盆清洁","是","泌尿健康猫粮","必须就医","","","","","","","","","","","",""
"口炎","口臭、流口水、牙龈红肿、食欲下降、口腔疼痛","免疫介导、病毒感染、口腔卫生差","1.严重时需全口拔牙<br>2.抗生素治疗（速诺）<br>3.口腔清洁<br>4.止痛治疗<br>5.补充维生素<br>6.定期洗牙","1.定期刷牙<br>2.保持口腔卫生<br>3.接种疫苗<br>4.增强免疫力<br>5.定期口腔检查","是","速诺片剂、宠物牙刷、牙膏","建议就医","","","","","","","","","","","",""
"寄生虫-跳蚤","皮肤瘙痒、抓挠、可见跳蚤、黑色粪便颗粒","跳蚤寄生","1.外用驱虫药（福来恩）<br>2.环境清洁消毒<br>3.多猫家庭同时驱虫<br>4.皮肤瘙痒可用生理盐水清洁","1.定期体外驱虫<br>2.避免接触流浪动物<br>3.环境清洁<br>4.外出回来检查","是","福来恩、爱沃克、大宠爱、生理盐水","一般不需就医","","","","","","","","","","","",""
"寄生虫-耳螨","耳朵瘙痒、频繁抓挠、黑色颗粒状分泌物、有异味","耳螨寄生","1.专用洗耳液清洁<br>2.耳螨药滴耳<br>3.清理分泌物<br>4.环境消毒<br>5.多猫家庭同时治疗","1.保持耳朵干燥<br>2.定期检查耳朵<br>3.避免接触患病猫<br>4.定期驱虫","是","洗耳液、耳螨药","严重时需就医","","","","","","","","","","","",""
"寄生虫-蛔虫","消瘦、腹大、呕吐、粪便中有虫体","蛔虫感染","1.内驱药（海乐妙）<br>2.严重时需输液治疗<br>3.补充营养<br>4.环境消毒","1.定期体内驱虫<br>2.保持环境清洁<br>3.避免吃生食<br>4.粪便及时清理","是","海乐妙、爱沃克、大宠爱","严重时需就医","","","","","","","","","","","",""
"寄生虫-绦虫","粪便中有米粒状虫体、消瘦、肛门瘙痒","绦虫感染","1.专用驱虫药<br>2.消灭跳蚤（跳蚤传播绦虫）<br>3.环境消毒<br>4.补充营养","1.定期驱虫<br>2.控制跳蚤<br>3.不喂生肉<br>4.粪便及时清理","是","专用驱虫药、福来恩","严重时需就医","","","","","","","","","","","",""
"呕吐-毛球症","频繁呕吐、呕吐物中有毛球、食欲下降、便秘","吞入过多毛发、梳毛不足","1.定期喂食化毛膏<br>2.增加梳毛频率<br>3.喂食化毛猫粮<br>4.严重时需就医取出毛球<br>5.补充猫草促进排出","1.增加梳毛频率<br>2.喂食化毛膏/化毛粮<br>3.提供猫草<br>4.长毛猫更需注意","是","化毛膏、梳子、猫草、化毛猫粮","严重时需就医","","","","","","","","","","","",""
"呕吐-食物不耐受","呕吐未消化的食物、食欲下降、精神不佳","食物过敏、换粮过快、食物变质","1.停止喂食可疑食物<br>2.禁食12-24小时<br>3.恢复清淡饮食<br>4.缓慢换粮<br>5.记录过敏食物","1.缓慢换粮（7天换粮法）<br>2.避免喂食变质食物<br>3.记录过敏食物<br>4.选择单一蛋白源猫粮","是","益生菌","一般不需就医","","","","","","","","","","","",""
"呕吐-胃炎","呕吐、食欲下降、精神萎靡、脱水","细菌感染、病毒感染、食物刺激","1.禁食12-24小时<br>2.补充水分和电解质<br>3.抗生素治疗（速诺）<br>4.保护胃黏膜<br>5.严重时输液治疗","1.避免喂食变质食物<br>2.减少应激<br>3.定期驱虫<br>4.注意饮食卫生","是","速诺片剂、益生菌","建议就医","","","","","","","","","","","",""
"结膜炎","眼睛红肿、分泌物增多、流泪、眼睛半闭","细菌感染、病毒感染、异物刺激、过敏","1.托百士妥布霉素滴眼液<br>2.生理盐水清洁眼睛<br>3.清除异物<br>4.抗生素眼膏（严重时）<br>5.保持眼部清洁","1.保持眼部清洁<br>2.避免灰尘刺激<br>3.避免接触患病猫<br>4.增强免疫力<br>5.定期检查眼睛","是","托百士妥布霉素滴眼液、生理盐水","建议就医","","","","","","","","","","","",""
"角膜炎","眼睛疼痛、流泪、角膜混浊、畏光","外伤、感染、干眼症","1.抗生素眼药水/眼膏<br>2.疼痛管理<br>3.保护眼睛（伊丽莎白圈）<br>4.严重时需手术","1.避免眼部外伤<br>2.保持眼部清洁<br>3.及时治疗眼部疾病<br>4.定期检查","否","抗生素眼药水、伊丽莎白圈","必须就医","","","","","","","","","","","",""
"牙龈炎","牙龈红肿、出血、口臭、食欲下降","牙菌斑堆积、口腔卫生差","1.定期刷牙<br>2.洁牙<br>3.抗生素治疗（速诺）<br>4.严重时拔牙<br>5.补充维生素","1.定期刷牙<br>2.提供磨牙零食（冻干鸡脖）<br>3.定期口腔检查<br>4.喂食干粮帮助清洁牙齿","是","宠物牙刷、牙膏、速诺片剂、冻干鸡脖","建议就医","","","","","","","","","","","",""
"肥胖症","体重超标、行动迟缓、呼吸困难、食欲旺盛","过度喂食、缺乏运动、绝育后代谢变慢","1.控制饮食量<br>2.使用减肥猫粮<br>3.增加运动量<br>4.避免喂食高热量零食<br>5.定期称重","1.控制喂食量<br>2.增加运动<br>3.选择低脂猫粮<br>4.定期称重<br>5.绝育后注意饮食","是","减肥猫粮","一般不需就医","","","","","","","","","","","",""
"糖尿病","多饮多尿、体重下降、食欲异常、精神萎靡","胰岛素分泌不足、肥胖、遗传","1.胰岛素注射<br>2.特殊饮食（低碳水化合物）<br>3.定期监测血糖<br>4.保持规律饮食<br>5.定期体检","1.控制体重<br>2.规律饮食<br>3.定期体检<br>4.避免高糖食物<br>5.注意糖尿病早期症状","否","胰岛素","必须就医","","","","","","","","","","","",""
"甲状腺功能亢进","体重下降、食欲增加、多饮多尿、心率加快、呕吐","甲状腺肿瘤（老年猫常见）","1.抗甲状腺药物<br>2.碘131治疗<br>3.手术切除（少见）<br>4.定期监测甲状腺激素<br>5.支持性治疗","1.定期体检<br>2.注意老年猫体重变化<br>3.早期发现早期治疗<br>4.避免应激","否","抗甲状腺药物","必须就医","","","","","","","","","","","",""
"肾脏疾病","多饮多尿、食欲下降、呕吐、消瘦、口腔溃疡","年龄相关、毒素、感染、遗传","1.输液治疗<br>2.控制磷摄入<br>3.肾脏处方粮<br>4.血压控制<br>5.贫血治疗<br>6.定期监测肾功能","1.定期体检<br>2.充足饮水<br>3.避免肾毒性药物<br>4.早期发现早期治疗<br>5.老年猫更需注意","否","肾脏处方粮、输液治疗","必须就医","","","","","","","","","","","",""
