id,问题,分类,描述,原因,方案,推荐用品,是否通过,需修改,备注
q1,猫拉稀怎么办,肠胃问题,软便或水样便先排查饮食与应激。,突然换粮；应激；零食过多,停止零食；喂益生菌；观察24小时精神状态,宠物益生菌；低敏主粮,,,
q2,猫呕吐,肠胃问题,偶发吐粮常见，频繁呕吐需重视。,吃太快；毛球刺激；换粮过快,少量多餐；使用慢食碗；频繁呕吐及时就医,慢食碗；化毛膏,,,
q3,猫不吃猫粮,肠胃问题,拒食可能与挑食或口腔不适相关。,挑食；环境变化；口腔问题,定时定量；减少零食；持续拒食就医,适口性猫粮；主食罐,,,
q4,猫便秘怎么办,肠胃问题,排便间隔过长需补水与饮食调整。,饮水少；纤维不足；运动少,增加饮水；湿粮辅助；必要时就医,流动饮水机；湿粮,,,
q5,换粮后软便,肠胃问题,换粮过快容易短期软便。,过渡期太短；新粮不耐受；喂食过量,7天渐进换粮；控制喂食量；必要时回退旧粮,宠物益生菌；低敏猫粮,,,
q6,猫口臭,健康问题,持续口臭可能提示口腔或肠胃问题。,牙结石；牙龈炎；口腔清洁不足,定期刷牙；使用洁牙零食；严重时口腔检查,猫咪牙刷；洁牙凝胶,,,
q7,猫黑下巴,护理问题,下巴黑点常见于皮脂堆积。,油脂分泌；塑料碗刺激；清洁不足,更换陶瓷或玻璃等易清洁食碗；每日清洁下巴；反复发作就医,陶瓷平口猫碗；宠物湿巾,,,
q8,猫泪痕,护理问题,轻度泪痕可通过清洁与饮食改善。,眼部刺激；饮食问题；泪道堵塞,每天清洁眼周；调整饮食；持续加重就医,宠物眼部湿巾；低敏猫粮,,,
q9,猫掉毛严重,护理问题,换毛季掉毛增多，需规律护理。,季节换毛；营养不足；皮肤问题,每天梳毛；补充鱼油；皮肤异常就医,针梳；鱼油,,,
q10,猫耳朵脏,护理问题,耳道分泌物增多要排查耳螨。,耳螨；清洁不足；过敏,定期耳道清洁；观察抓耳频率；异味明显就医,洗耳液；棉片,,,
q11,猫抓沙发,行为问题,抓挠是本能行为，需要正确引导。,缺少抓板；无聊；标记行为,放置抓板；使用猫薄荷引导；增加互动,瓦楞猫抓板；逗猫棒,,,
q12,猫乱尿,健康问题,乱尿可能是行为问题也可能泌尿问题。,猫砂盆不洁；应激；泌尿不适,增加猫砂盆；保持清洁；频繁蹲盆尽快就医,豆腐猫砂；猫砂盆,,,
q13,猫咪为什么半夜跑酷,行为问题,猫是典型晨昏型动物，清晨和夜晚更活跃，半夜突然狂奔常见于精力未释放。,精力过剩；白天睡太多；捕猎本能,晚上增加互动陪玩；睡前喂食帮助稳定作息；增加猫爬架和玩具消耗精力,逗猫棒；猫爬架；益智玩具,,,
q14,猫咪刚到家一直躲怎么办,行为问题,猫咪到新环境躲藏非常常见，通常是对陌生环境敏感导致的应激反应。,环境陌生；缺乏安全感；新气味过多,准备安静独立空间；不要强行抱出；就近放置食物和水；等待猫咪自行探索,猫窝；猫抓板；费洛蒙安抚喷雾,,,
q15,猫咬人怎么办,行为问题,玩耍中咬人需要行为重定向。,玩耍过激；手逗习惯；精力过剩,停止手逗；用玩具替代；及时终止互动,逗猫棒；磨牙玩具,,,
q16,猫咪应激反应,健康问题,搬家或新成员可能引发应激。,环境变化；外出就医；陌生气味,提供安静空间；保持作息；持续不适就医,费洛蒙扩散器；舒缓零食,,,
q17,猫打喷嚏,健康问题,偶发喷嚏常见，伴随症状需关注。,灰尘刺激；温差变化；上呼吸道感染,保持通风；减少粉尘；流鼻涕发热就医,低尘猫砂；空气净化器,,,
q18,猫皮屑多,护理问题,皮屑增多与干燥和营养有关。,空气干燥；洗护不当；营养不均,适度加湿；减少洗澡频率；补充脂肪酸,鱼油；加湿器,,,
q19,猫频繁进出猫砂盆,健康问题,疑似泌尿不适要尽快处理。,泌尿刺激；饮水不足；应激,观察尿量；增加饮水点；异常立即就医,饮水机；泌尿护理粮,,,
q20,猫咪食欲下降,健康问题,短期食欲下降需排查环境和疾病。,天气变化；应激；口腔或肠胃不适,提供新鲜食物；观察精神状态；超过24小时就医,主食罐；营养膏,,,
q21,猫癣怎么护理,健康问题,猫癣常见于免疫力低或潮湿环境，需要治疗与环境管理同步。,真菌感染；免疫力下降；环境潮湿,按医嘱外用药；隔离并清洁常活动区；定期消杀并多晒太阳,抗真菌喷剂；次氯酸消毒液,,,
q22,奶猫怎么保暖,健康问题,新生奶猫保暖是首要任务，温度管理不当易失温。,环境温度过低；保暖设备使用不当；通风直吹,第1周保持30-32度；逐周下调温度；保持猫窝半暖半凉,保温垫；温度计,,,
q23,奶猫喂养频次怎么安排,肠胃问题,奶猫喂养需高频少量，避免呛奶和过量。,喂食间隔不合理；奶量控制不当；喂奶姿势错误,0-1周约每2小时喂一次；2-3周每3-4小时一次；使用专用奶瓶俯卧喂养,猫用奶瓶；猫奶粉,,,
q24,猫呛奶怎么处理,健康问题,奶猫呛奶是紧急情况，处理不当可能引发吸入性问题。,喂奶过快；姿势不正确；奶嘴孔过大,立即停止喂奶；让猫头部向下轻拍背部；清理口鼻并尽快联系兽医,小号奶嘴；吸鼻器,,,
q25,幼猫断奶怎么过渡,肠胃问题,断奶阶段需要循序渐进，避免肠胃负担过重。,直接更换固体粮；进食过快；适口性差,3-4周开始奶泡幼猫粮；逐步减少奶量；观察便便和体重变化,幼猫粮；主食罐,,,
q26,猫尿味怎么去除,护理问题,猫尿清理需同时去味与分解尿渍，避免重复标记。,清洁不彻底；未分解尿渍；残留气味刺激,及时处理尿点；使用去味分解清洁剂；重点处理猫常复尿区域,去味清洁剂；尿渍分解喷雾,,,
q27,猫咪不吃猫粮怎么办（新手养猫）,行为问题,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,,常见与换粮太快有关，建议先观察精神与食欲，调整喂养节奏并做好环境管理，若持续48小时无改善建议就医。,益生菌；慢食碗,,,
