"行为问题","原因","解决方法","是否正常","频率","","","","","","","","","","","","","","",""
"半夜跑酷","晨昏型动物天性、精力过剩、捕猎本能、无聊","1.睡前陪玩15-30分钟消耗精力<br>2.使用逗猫棒、自动球等玩具<br>3.白天多互动减少睡觉时间<br>4.提供猫爬架、猫抓板等消耗精力的设施<br>5.幼猫随年龄增长会逐渐改善<br>6.避免在跑酷时追逐猫咪","是正常行为","经常","","","","","","","","","","","","","","",""
"踩奶","幼年记忆、舒适安全、满足感、标记领地","1.这是正常行为，无需阻止<br>2.可以轻轻抚摸配合<br>3.踩奶时可能发出呼噜声<br>4.有些猫踩奶时会抓东西，可以用毯子垫着<br>5.享受猫咪的喜爱表现","是正常行为","经常","","","","","","","","","","","","","","",""
"翻肚皮","信任表现、玩耍邀请、防御姿势","信任表现：1.眼睛半眯或缓慢眨眼<br>2.尾巴轻轻摆动<br>3.身体放松<br>4.可以轻轻抚摸但不要长时间摸肚子<br><br>玩耍邀请：1.前爪做抓握动作<br>2.眼神活跃<br>3.可以用玩具互动<br><br>防御姿势：1.耳朵向后贴<br>2.瞳孔放大<br>3.发出低吼声<br>4.不要触碰给猫空间","是正常行为（需结合肢体语言判断）","偶尔","","","","","","","","","","","","","","",""
"呼噜呼噜","舒适满足、自我安抚、疼痛、沟通需求","正向呼噜：1.被抚摸时<br>2.吃东西时<br>3.睡觉时<br>4.表示放松和满足<br><br>自我安抚：1.紧张或害怕时<br>2.生病或疼痛时<br>3.需要安慰时<br><br>注意事项：1.如果平时不爱呼噜突然频繁呼噜且精神萎靡可能生病<br>2.呼噜声很大或异常需就医检查","是正常行为（但异常呼噜需警惕）","经常","","","","","","","","","","","","","","",""
"抓人咬人","玩耍冲动、受到惊吓、感到威胁、过度兴奋","玩耍时咬人：1.立即停止互动转身离开<br>2.使用玩具代替手<br>3.不要用手逗猫<br>4.每天定时消耗猫咪精力<br><br>受到惊吓咬人：1.不要强行抱猫<br>2.给猫躲避空间<br>3.慢慢建立信任<br><br>攻击行为：1.检查是否有身体不适<br>2.观察触发因素<br>3.频繁攻击建议咨询兽医或行为专家","部分正常（玩耍咬人），攻击行为需注意","经常","","","","","","","","","","","","","","",""
"不埋屎","猫砂盆不喜欢、猫砂不喜欢、关节炎疼痛、领地标记","猫砂盆问题：1.检查猫砂盆是否太脏<br>2.猫砂盆是否太小<br>3.猫砂盆位置是否太吵<br><br>猫砂问题：1.尝试不同类型的猫砂<br>2.猫砂厚度是否合适<br><br>健康问题：1.关节炎可能导致疼痛<br>2.泌尿系统问题<br><br>行为问题：1.发情期可能标记领地<br>2.绝育后通常改善","不是正常行为，需要找出原因","偶尔","","","","","","","","","","","","","","",""
"乱尿","发情、泌尿系统疾病、应激、猫砂盆问题、领地标记","发情：适龄绝育<br><br>疾病：就医检查泌尿系统<br><br>应激：减少应激源，使用费洛蒙<br><br>猫砂盆问题：清洁、位置、大小<br><br>其他：使用去猫尿配方清除气味<br>1.不是正常行为<br>2.需要找出原因<br>3.清除气味防止重复","偶尔（需警惕）","","","","","","","","","","","","","","","",""
"挑食","食物偏好、健康问题、行为习惯、过度喂零食","猫粮问题：1.检查猫粮是否新鲜<br>2.尝试不同品牌口味<br>3.避免频繁换粮<br><br>行为习惯：1.定时喂食，不吃就收走<br>2.减少零食喂食<br>3.不要过度关注猫咪吃饭<br><br>健康问题：1.口腔问题（口炎、牙结石）<br>2.嗅觉下降<br>3.生病导致食欲不振<br><br>注意事项：1.猫咪可以忍受饥饿，不要过度担心<br>2.超过3天不进食需就医（脂肪肝风险）","不是正常行为，需要纠正","经常","","","","","","","","","","","","","","",""
"追尾巴","无聊、自娱自乐、压力、强迫症","轻微追尾巴：1.这是正常的自娱自乐行为<br>2.增加玩具和互动<br>3.消耗精力<br><br>过度追尾巴：1.可能是压力或焦虑表现<br>2.需要观察其他行为<br>3.减少应激源<br>4.严重时咨询兽医","轻微是正常的，过度需警惕","偶尔","","","","","","","","","","","","","","",""
"攻击性行为","受到威胁、疼痛、恐惧、保护领地、疾病","威胁恐惧：1.不要接近，给猫空间<br>2.慢慢建立信任<br>3.减少应激<br><br>疼痛：1.检查是否有身体不适<br>2.就医检查<br><br>领地保护：1.多猫家庭增加资源<br>2.分别喂食和猫砂盆<br>3.绝育减少攻击性<br><br>疾病：就医检查","不是正常行为，需要找出原因","偶尔","","","","","","","","","","","","","","",""
"突然发飙","受到惊吓、过度兴奋、捕猎本能、压力","惊吓：1.避免突然的大动作或声音<br>2.慢慢接近猫咪<br><br>兴奋：1.增加日常消耗精力<br>2.提供玩具释放精力<br><br>压力：1.减少应激源<br>2.使用费洛蒙<br>3.增加安全感","部分正常（捕猎本能），但过度需注意","偶尔","","","","","","","","","","","","","","",""
"盯着人看","好奇、观察、请求关注、捕猎本能","好奇观察：这是正常的猫科动物行为，无需担心<br><br>请求关注：1.可以回应互动<br>2.给予关注或零食<br><br>注意事项：1.不要长时间直视猫咪眼睛（视为威胁）<br>2.缓慢眨眼表示友好<br>3.享受猫咪的关注","是正常行为","经常","","","","","","","","","","","","","","",""
"舔毛过度","压力、焦虑、皮肤问题、寄生虫","压力焦虑：1.找出压力源并减少<br>2.使用费洛蒙<br>3.增加互动和安全感<br><br>皮肤问题：1.检查是否有皮肤病<br>2.就医检查<br><br>寄生虫：1.定期驱虫<br>2.检查是否有跳蚤或耳螨<br><br>注意事项：过度舔毛会导致皮肤破损","不是正常行为，需要找出原因","偶尔","","","","","","","","","","","","","","",""
"突然躲藏","受到惊吓、生病、不适、环境变化","惊吓：1.给猫安全空间<br>2.不要强迫出来<br>3.慢慢建立信任<br><br>生病：1.观察其他症状<br>2.食欲和排便是否正常<br>3.及时就医<br><br>环境变化：1.搬家、新宠物、家具移动<br>2.给予适应时间<br>3.提供熟悉的物品","不是正常行为（应激或生病），需警惕","偶尔","","","","","","","","","","","","","","",""
"对着物品叫","发情、看到窗外猫、无聊、寻求关注","发情：适龄绝育<br><br>窗外猫：1.使用窗帘遮挡<br>2.减少视觉刺激<br><br>无聊：1.增加玩具和互动<br>2.消耗精力<br><br>寻求关注：1.不要在叫的时候给零食<br>2.安静时给予奖励<br>3.增加日常互动","部分正常（发情），其他需引导","偶尔","","","","","","","","","","","","","","",""
"突然攻击人","受到惊吓、疼痛、玩耍过度、疾病","惊吓：1.避免突然触碰<br>2.慢慢接近<br><br>疼痛：1.就医检查<br>2.触摸时注意观察反应<br><br>玩耍过度：1.使用玩具代替手<br>2.控制互动时间<br>3.不要过度刺激","不是正常行为，需要找出原因","偶尔（需警惕）","","","","","","","","","","","","","","",""
"突然跑掉","受到惊吓、捕猎本能、听到声音、看到移动物体","捕猎本能：这是正常的猫科动物行为，无需担心<br><br>惊吓：1.避免突然的声音或动作<br>2.慢慢接近猫咪<br><br>注意事项：1.这是猫咪的生存本能<br>2.不要强行追赶","部分正常（捕猎本能），惊吓需避免","经常","","","","","","","","","","","","","","",""
"一直叫","发情、饥饿、生病、寻求关注、无聊","发情：适龄绝育<br><br>饥饿：1.检查是否喂食<br>2.定时定量喂食<br><br>生病：1.观察其他症状<br>2.及时就医<br><br>寻求关注：1.增加日常互动<br>2.不要在叫的时候奖励<br><br>无聊：1.增加玩具和活动<br>2.消耗精力","部分正常（发情、饥饿），其他需找出原因","偶尔","","","","","","","","","","","","","","",""
"突然不理人","生气、不舒服、压力、专注其他事情","生气：1.回想是否做了让猫不开心的事<br>2.给予空间<br>3.慢慢重新建立联系<br><br>不舒服：1.观察其他症状<br>2.就医检查<br><br>压力：1.减少应激源<br>2.增加安全感<br>3.使用费洛蒙<br><br>专注：1.可能在观察或休息<br>2.不要打扰","部分正常（专注），其他需注意","偶尔","","","","","","","","","","","","","","",""
"突然变得粘人","生病、发情、环境变化、缺乏安全感","生病：1.观察其他症状<br>2.食欲和排便是否正常<br>3.及时就医<br><br>发情：适龄绝育<br><br>环境变化：1.搬家、新宠物等<br>2.需要适应时间<br>3.给予安全感<br><br>缺乏安全感：1.增加互动和陪伴<br>2.使用费洛蒙","部分正常（环境变化），突然变化需警惕","偶尔","","","","","","","","","","","","","","",""
"突然变得暴躁","疼痛、生病、压力、发情","疼痛：1.就医检查<br>2.触摸时注意观察反应<br><br>生病：1.观察其他症状<br>2.及时就医<br><br>压力：1.减少应激源<br>2.使用费洛蒙<br><br>发情：适龄绝育","不是正常行为，需要找出原因","偶尔（需警惕）","","","","","","","","","","","","","","",""
"对着窗户发呆","观察窗外、看到鸟类、无聊、发呆休息","观察窗外：这是正常的猫科动物行为，满足好奇心<br><br>无聊：1.可以增加玩具和互动<br>2.提供猫爬架看风景<br><br>休息：这是正常的休息行为，无需担心<br><br>注意事项：1.确保窗户安全<br>2.封窗防止坠落","是正常行为","经常","","","","","","","","","","","","","","",""
"突然到处闻","领地标记、好奇、发现新气味、新环境","领地标记：这是正常的猫科动物行为，通过气味标记领地<br><br>好奇：满足好奇心，无需阻止<br><br>新环境：1.搬家或新物品时<br>2.帮助猫咪熟悉环境<br><br>注意事项：1.这是猫咪了解环境的方式<br>2.让猫充分探索","是正常行为","偶尔","","","","","","","","","","","","","","",""
"突然咬人","玩耍过度、受到惊吓、疼痛、疾病","玩耍过度：1.使用玩具代替手<br>2.控制互动时间<br>3.不要过度刺激<br><br>惊吓：1.避免突然触碰<br>2.慢慢接近<br><br>疼痛：1.就医检查<br>2.触摸时注意观察反应<br><br>疾病：1.观察其他症状<br>2.及时就医","不是正常行为，需要找出原因","偶尔","","","","","","","","","","","","","","",""
"突然扑咬","捕猎本能、玩耍过度、看到移动物体","捕猎本能：1.这是正常的猫科动物行为<br>2.使用玩具代替<br>3.消耗精力<br><br>玩耍过度：1.控制互动时间<br>2.不要过度刺激<br>3.及时结束游戏<br><br>注意事项：1.不要用手或脚逗猫<br>2.引导扑咬到玩具上","部分正常（捕猎本能），过度需纠正","经常","","","","","","","","","","","","","","",""
"突然甩尾巴","烦躁、生气、专注、玩耍","烦躁生气：1.耳朵向后贴<br>2.不要接近<br>3.给猫空间<br><br>专注：1.可能专注于某个目标<br>2.不要打扰<br><br>玩耍：1.尾巴轻微摆动<br>2.可以互动<br><br>注意事项：尾巴动作结合其他肢体语言判断","部分正常（专注），烦躁需注意","经常","","","","","","","","","","","","","","",""
"突然竖起尾巴","友好、自信、兴奋、惊讶","友好自信：1.尾巴竖起是友好的表现<br>2.可以回应互动<br><br>兴奋：1.可能看到喜欢的玩具或食物<br>2.满足猫咪的需求<br><br>惊讶：1.突然的刺激<br>2.观察猫咪反应<br><br>注意事项：1.竖起尾巴通常是积极的信号<br>2.结合其他肢体语言判断","是正常行为","经常","","","","","","","","","","","","","","",""
"突然炸毛","恐惧、受到威胁、愤怒、生病","恐惧威胁：1.立即停止接近<br>2.给猫空间<br>3.不要刺激<br><br>愤怒：1.不要接近<br>2.等待冷静<br>3.找出原因<br><br>生病：1.观察其他症状<br>2.及时就医<br><br>注意事项：这是猫咪的自我保护机制","不是正常行为（应激或威胁），需警惕","偶尔","","","","","","","","","","","","","","",""
"突然露爪","防御、玩耍、害怕、疼痛","防御：1.不要强迫接近<br>2.给猫空间<br>3.慢慢建立信任<br><br>玩耍：1.使用玩具代替手<br>2.控制互动强度<br><br>害怕疼痛：1.就医检查<br>2.触摸时注意反应<br><br>注意事项：露爪是猫咪的自我保护行为","部分正常（玩耍），其他需注意","偶尔","","","","","","","","","","","","","","",""
"突然发出低吼","愤怒、防御、疼痛、威胁","愤怒防御：1.立即停止接近<br>2.给猫空间<br>3.不要刺激<br><br>疼痛：1.就医检查<br>2.不要触摸<br><br>威胁：1.可能有其他动物或威胁<br>2.消除威胁源<br><br>注意事项：低吼是明确的警告信号，不要忽视","不是正常行为，需要找出原因","偶尔（需警惕）","","","","","","","","","","","","","","",""
