name,category,type,price_level,description,purchase_url
鲜朗,猫粮,主粮,budget,"《猫咪指南》：大袋折扣常不明显，可多留意试吃；日常价约30元/斤量级讨论较多（以实际渠道为准）。定位""平价国产、关注试吃羊毛""的经验向描述。",
爱肯拿,猫粮,主粮,mid,《猫咪指南》归入进口梯队；网友常提配方与性价比平衡、适口性因猫而异，属中端进口常见选项。,
渴望,猫粮,主粮,premium,《猫咪指南》进口高端代表之一，高蛋白路线；适合预算充足、关注配料与蛋白耐受的家庭。,
皇家室内猫粮,猫粮,主粮,mid,"皇家系在指南中另有""幼猫粮泡羊奶""的喂养讨论；此款为室内成猫向参考，具体系列以包装与兽医建议为准。",
NOW,猫粮,主粮,premium,无谷配方，网友讨论适口性相对稳定；与指南中国产/进口列表可并行作功课，个体差异大。,
pidan,猫砂,豆腐砂,mid,《猫咪指南》猫砂清单品牌之一；豆腐砂路线里常被提及，结团除臭因批号与混砂比例而异。,
petshy,猫砂,豆腐砂,budget,《猫咪指南》列入豆腐砂常用名；入门价带友好，适合与矿砂混用以改善脚感与结团（见指南矿砂+豆腐 tips）。,
网易,猫砂,矿砂,budget,对应指南中「网易严选」猫砂线讨论；矿砂/混合系里偏平价口粮型选择，控味表现讨论较多。,
妮可露,猫砂,矿砂,mid,矿砂系常见款，结团与粉尘评价因批次不同；可与豆腐砂混用，贴近指南「方便铲+结团」思路。,
混合猫砂Pro,猫砂,混合猫砂,mid,混合砂逻辑与指南一致：矿砂+豆腐兼顾铲屎手感与结团，可按比例微调。,
宠物益生菌,健康用品,肠胃护理,mid,《猫咪指南》点名品类参考：MAG、麦德氏等可作选购方向；软便拉稀先排查饮食与就医，勿替代治疗。,
化毛膏,健康用品,毛球护理,mid,指南摘录：vetwish、MAG、红狗、卫仕等品牌常被对比；根据猫舔毛强度与医嘱选择，勿过量。,
鱼油,健康用品,皮毛护理,mid,《猫咪指南》：MAG、卫仕、vetwish 等在鱼油品类里提及较多；护毛亮毛为辅助，皮肤病需就医。,
营养膏,健康用品,营养补充,budget,指南单独提到「添赐力」营养膏在体质差、术后等场景可向兽医咨询是否适用；本条目为泛营养膏类描述。,
泌尿护理粮,健康用品,泌尿护理,premium,处方或功能粮需兽医评估；指南未逐条展开，网站保留为泌尿友好家庭的检索标签。,
循环饮水机,护理用品,饮水设备,mid,《猫咪指南》：自动饮水机需勤快清洗、按时换滤芯，否则易藏污。,
洗耳液,护理用品,耳部护理,budget,日常耳道护理用；频繁抓耳、异味需就医排查耳螨等。,
瓦楞猫抓板,玩具,磨爪玩具,budget,指南玩具清单基础项；转移磨爪需求、护家具。,
逗猫棒,玩具,互动玩具,budget,指南明确列出；睡前放电有助于缓解半夜跑酷。,
帕特,猫粮,主粮,mid,《猫咪指南》：系列价差大——果蔬向适合微胖猫、鹌鹑系偏低敏讨论；幼时羊奶粉幼猫系、成长期使用兔肉等口味个体喜好差异大；正装可关注促销价带。,
弗列加特,猫粮,主粮,mid,《猫咪指南》形容词：偏油、长肉向较多；适合需要增重的猫与否因个体代谢而异，怕油猫慎选。,
卫仕猫粮,猫粮,主粮,budget,《猫咪指南》：「爆爆桶」冻干夹心款，挑食猫个案反馈较爱吃；属国货营销与适口性并重的经验描述。,
网易严选猫粮,猫粮,主粮,budget,《猫咪指南》国产表常见名；入门价位、配方讨论多，适合作第一份粮功课与试吃对比。,
百利,猫粮,主粮,premium,《猫咪指南》外国清单品牌；进口中高端常见，关注配方版本与渠道真伪。,
巅峰,猫粮,主粮,premium,《猫咪指南》进口高端；风干/高肉、高单价，适口性两极，建议先小包装试。,
allforpaws猫砂,猫砂,混合猫砂,mid,《猫咪指南》猫砂名单之一；同品牌另有旋转尾巴等玩具，砂类综合向。,
福丸猫砂,猫砂,豆腐砂,budget,《猫咪指南》明确列举；平价豆腐砂路线，粉尘与结团评价可参考最新批次测评。,
许翠花猫砂,猫砂,矿砂,mid,《猫咪指南》清单品牌；矿砂系，常与豆腐混用以平衡结团。,
城市理享猫砂,猫砂,矿砂,premium,《猫咪指南》与贵价矿砂并列讨论；定位偏高端除味/使用感，预算充足可关注。,
乳铁蛋白,健康用品,免疫支持,mid,《猫咪指南》：麦德氏、vetwish、MAG 等作为乳铁蛋白选购参考；免疫支持类需理性，遵医嘱。,
次氯酸消毒液,护理用品,环境清洁,budget,《猫咪指南》养宠环境管理经验：活动区可做次氯酸类消杀，按说明书稀释、通风，避免猫舔舐未干区域。,
铁锤猫砂,猫砂,矿砂,premium,《猫咪指南》称为贵价矿砂；除臭结团口碑常被点名，适合与豆腐砂混用、降低铲屎阻力。,
MAG羊奶粉,健康用品,营养品,mid,《猫咪指南》：羊奶粉里「营养成分比较高」的讨论向品牌；奶猫喂养仍需看体重、排便与兽医指导。,
麦德氏羊奶粉,健康用品,营养品,mid,《猫咪指南》：强调0乳糖取向，适合「肠胃相对弱」的奶猫功课参考；与 MAG 可对比试用。,
皇家幼猫粮,猫粮,幼猫粮,mid,《猫咪指南》：满月后可用皇家幼猫粮泡羊奶至软，牙长齐再过渡到干粮；个体换粮需渐进。,
喵梵思,猫粮,主粮,budget,《猫咪指南》：折扣多、可蹲直播间「半价」类活动；同品牌脆块冻干列入平价冻干摘录，属国货高性价比画风。,
诚实一口,猫粮,主粮,mid,《猫咪指南》原话风格：无功无过、稳健型国产粮讨论；适合作为中庸备选与试吃。,
美士猫粮,猫粮,主粮,mid,《猫咪指南》：减肥向猫粮讨论，抖音等活动价提及较多；控重需配喂食量与体检。,
东边,猫粮,主粮,premium,《猫咪指南》：适合肠胃偏弱猫的讨论向品牌，形容词带「价格偏贵」；敏感胃建议遵医嘱换粮。,
法米娜,猫粮,主粮,mid,《猫咪指南》：口味多、试吃装友好；作者因新闻事件未购大包，网传控重向说法需自行甄别真伪与批次。,
添赐力营养膏,健康用品,营养补充,mid,《猫咪指南》：绝育后或体质偏弱时可向兽医咨询是否使用；贫血场景亦有网友讨论补血肝精类，勿自行加量。,
纽顿猫粮,猫粮,主粮,mid,《新手养猫清单》.docx 列入进口粮功课讨论名单；网友常作「口碑与体制」向对比，请先试吃再囤。,
哆唻咪矿砂,猫砂,矿砂,budget,清单文档中矿砂品牌摘录之一；适合与豆腐砂分层混用（底层多包豆腐+表层薄矿砂省砂思路）。,
Kojima宠物湿巾,护理用品,清洁,budget,清单推荐纯水向、不含木糖醇宠物湿巾示例；适合擦脸擦脚，眼周擦拭先问兽医。,
陶瓷平口猫碗,护理用品,喂食器具,budget,清单思路：陶瓷、大直径、偏平口粮碗，减少触须压力；可搭配黑色水碗观察水位。,
爱立方小鲜砖,猫粮,主食冻干,mid,清单冻干品牌摘录；主食冻干也需控制喂食量，避免只吃冻干不吃粮。,
猫咪复合维生素,健康用品,维生素补充,mid,指南摘录：卫仕、vetwish 等常作维B/复合维生素功课；猫癣以规范治疗为主，补剂仅辅助且勿过量。,
