name,symptoms,cause,treatment,prevention,is_common,medicines,vet_note
猫藓,掉毛、皮肤结痂、圆形脱毛区、瘙痒,真菌感染（主要是犬小孢子菌）,1.外用盐酸特比萘芬喷剂 2.环境消毒（次氯酸溶液每天消杀两次） 3.营养补充（营养补剂一顿饭两泵） 4.多晒太阳 5.隔离患病猫 6.严重时可口服伊曲康唑（需医生指导）,1.保持环境干燥通风 2.避免接触患病猫 3.增强免疫力 4.定期消毒环境 5.注意补充营养,是,盐酸特比萘芬喷剂、次氯酸溶液、营养补剂,建议就医
上呼吸道感染（猫鼻支）,打喷嚏、流鼻涕、眼部分泌物、发烧、食欲下降,疱疹病毒感染,1.多西环素（一次半粒，一天两次） 2.速诺片剂（1-2kg半片，2-4kg一片） 3.生理盐水清洁眼鼻 4.补充营养增强免疫力 5.保持环境温暖 6.严重时输液治疗,1.接种猫三联疫苗 2.避免接触患病猫 3.减少应激 4.保持环境清洁 5.增强免疫力,是,多西环素、速诺片剂、生理盐水、乳铁蛋白,建议就医
消化系统腹泻,拉稀、软便、可能带血、脱水,换粮过快、食物不耐受、寄生虫、细菌感染、应激,1.益生菌调理肠胃 2.严重时禁食12-24小时 3.提供充足水分 4.喂食清淡食物 5.寄生虫感染需驱虫 6.细菌感染需抗生素（速诺）,1.缓慢换粮（7天换粮法） 2.避免喂食变质食物 3.定期驱虫 4.减少应激 5.保持食物和水清洁,是,益生菌、速诺片剂,严重时需就医
泌尿系统疾病,尿频、尿血、排尿困难、乱尿、甚至尿闭,膀胱炎、尿结石、应激、饮水不足,1.增加饮水量 2.更换泌尿健康猫粮 3.使用自动饮水机 4.抗生素治疗（遵医嘱） 5.尿闭需立即导尿 6.减少应激,1.多喝水 2.避免应激 3.定期体检 4.注意观察排尿情况 5.保持猫砂盆清洁,是,泌尿健康猫粮,必须就医
口炎,口臭、流口水、牙龈红肿、食欲下降、口腔疼痛,免疫介导、病毒感染、口腔卫生差,1.严重时需全口拔牙 2.抗生素治疗（速诺） 3.口腔清洁 4.止痛治疗 5.补充维生素 6.定期洗牙,1.定期刷牙 2.保持口腔卫生 3.接种疫苗 4.增强免疫力 5.定期口腔检查,是,速诺片剂、宠物牙刷、牙膏,建议就医
寄生虫-跳蚤,皮肤瘙痒、抓挠、可见跳蚤、黑色粪便颗粒,跳蚤寄生,1.外用驱虫药（福来恩） 2.环境清洁消毒 3.多猫家庭同时驱虫 4.皮肤瘙痒可用生理盐水清洁,1.定期体外驱虫 2.避免接触流浪动物 3.环境清洁 4.外出回来检查,是,福来恩、爱沃克、大宠爱、生理盐水,一般不需就医
寄生虫-耳螨,耳朵瘙痒、频繁抓挠、黑色颗粒状分泌物、有异味,耳螨寄生,1.专用洗耳液清洁 2.耳螨药滴耳 3.清理分泌物 4.环境消毒 5.多猫家庭同时治疗,1.保持耳朵干燥 2.定期检查耳朵 3.避免接触患病猫 4.定期驱虫,是,洗耳液、耳螨药,严重时需就医
寄生虫-蛔虫,消瘦、腹大、呕吐、粪便中有虫体,蛔虫感染,1.内驱药（海乐妙） 2.严重时需输液治疗 3.补充营养 4.环境消毒,1.定期体内驱虫 2.保持环境清洁 3.避免吃生食 4.粪便及时清理,是,海乐妙、爱沃克、大宠爱,严重时需就医
寄生虫-绦虫,粪便中有米粒状虫体、消瘦、肛门瘙痒,绦虫感染,1.专用驱虫药 2.消灭跳蚤（跳蚤传播绦虫） 3.环境消毒 4.补充营养,1.定期驱虫 2.控制跳蚤 3.不喂生肉 4.粪便及时清理,是,专用驱虫药、福来恩,严重时需就医
呕吐-毛球症,频繁呕吐、呕吐物中有毛球、食欲下降、便秘,吞入过多毛发、梳毛不足,1.定期喂食化毛膏 2.增加梳毛频率 3.喂食化毛猫粮 4.严重时需就医取出毛球 5.补充猫草促进排出,1.增加梳毛频率 2.喂食化毛膏/化毛粮 3.提供猫草 4.长毛猫更需注意,是,化毛膏、梳子、猫草、化毛猫粮,严重时需就医
呕吐-食物不耐受,呕吐未消化的食物、食欲下降、精神不佳,食物过敏、换粮过快、食物变质,1.停止喂食可疑食物 2.禁食12-24小时 3.恢复清淡饮食 4.缓慢换粮 5.记录过敏食物,1.缓慢换粮（7天换粮法） 2.避免喂食变质食物 3.记录过敏食物 4.选择单一蛋白源猫粮,是,益生菌,一般不需就医
