id,disease_name,main_symptoms,common_causes,care_advice,severity_level
D001,猫癣,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D002,猫传腹,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D003,肠胃炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D004,上呼吸道感染,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D005,杯状病毒,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D006,猫鼻支,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D007,泌尿道炎症,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D008,膀胱炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D009,胰腺炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D010,脂肪肝,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D011,慢性肾病,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D012,甲亢,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D013,糖尿病,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D014,牙龈炎,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D015,耳螨,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D016,皮肤过敏,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D017,寄生虫感染,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D018,跳蚤感染,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
D019,蜱虫感染,食欲下降、精神差、体重变化或异常行为,感染、免疫力下降、环境应激或基础疾病,先记录症状出现时间与频率，避免自行用药，尽快就医检查。,中高风险
