id,name,category,type,price_level,description
P001,鲜朗幼猫粮,猫粮,幼猫粮,budget,鲜朗 幼猫粮，适合猫粮场景，日常使用稳定。
P002,爱肯拿幼猫粮,猫粮,幼猫粮,mid,爱肯拿 幼猫粮，适合猫粮场景，日常使用稳定。
P003,渴望幼猫粮,猫粮,幼猫粮,premium,渴望 幼猫粮，适合猫粮场景，日常使用稳定。
P004,pidan幼猫粮,猫粮,幼猫粮,budget,pidan 幼猫粮，适合猫粮场景，日常使用稳定。
P005,petshy幼猫粮,猫粮,幼猫粮,mid,petshy 幼猫粮，适合猫粮场景，日常使用稳定。
P006,网易幼猫粮,猫粮,幼猫粮,premium,网易 幼猫粮，适合猫粮场景，日常使用稳定。
P007,妮可露幼猫粮,猫粮,幼猫粮,budget,妮可露 幼猫粮，适合猫粮场景，日常使用稳定。
P008,福丸幼猫粮,猫粮,幼猫粮,mid,福丸 幼猫粮，适合猫粮场景，日常使用稳定。
P009,卫仕幼猫粮,猫粮,幼猫粮,premium,卫仕 幼猫粮，适合猫粮场景，日常使用稳定。
P010,MAG幼猫粮,猫粮,幼猫粮,budget,MAG 幼猫粮，适合猫粮场景，日常使用稳定。
P011,鲜朗成猫粮,猫粮,成猫粮,mid,鲜朗 成猫粮，适合猫粮场景，日常使用稳定。
P012,爱肯拿成猫粮,猫粮,成猫粮,premium,爱肯拿 成猫粮，适合猫粮场景，日常使用稳定。
P013,渴望成猫粮,猫粮,成猫粮,budget,渴望 成猫粮，适合猫粮场景，日常使用稳定。
P014,pidan成猫粮,猫粮,成猫粮,mid,pidan 成猫粮，适合猫粮场景，日常使用稳定。
P015,petshy成猫粮,猫粮,成猫粮,premium,petshy 成猫粮，适合猫粮场景，日常使用稳定。
P016,网易成猫粮,猫粮,成猫粮,budget,网易 成猫粮，适合猫粮场景，日常使用稳定。
P017,妮可露成猫粮,猫粮,成猫粮,mid,妮可露 成猫粮，适合猫粮场景，日常使用稳定。
P018,福丸成猫粮,猫粮,成猫粮,premium,福丸 成猫粮，适合猫粮场景，日常使用稳定。
P019,卫仕成猫粮,猫粮,成猫粮,budget,卫仕 成猫粮，适合猫粮场景，日常使用稳定。
P020,MAG成猫粮,猫粮,成猫粮,mid,MAG 成猫粮，适合猫粮场景，日常使用稳定。
P021,鲜朗低敏粮,猫粮,低敏粮,premium,鲜朗 低敏粮，适合猫粮场景，日常使用稳定。
P022,爱肯拿低敏粮,猫粮,低敏粮,budget,爱肯拿 低敏粮，适合猫粮场景，日常使用稳定。
P023,渴望低敏粮,猫粮,低敏粮,mid,渴望 低敏粮，适合猫粮场景，日常使用稳定。
P024,pidan低敏粮,猫粮,低敏粮,premium,pidan 低敏粮，适合猫粮场景，日常使用稳定。
P025,petshy低敏粮,猫粮,低敏粮,budget,petshy 低敏粮，适合猫粮场景，日常使用稳定。
P026,网易低敏粮,猫粮,低敏粮,mid,网易 低敏粮，适合猫粮场景，日常使用稳定。
P027,妮可露低敏粮,猫粮,低敏粮,premium,妮可露 低敏粮，适合猫粮场景，日常使用稳定。
P028,福丸低敏粮,猫粮,低敏粮,budget,福丸 低敏粮，适合猫粮场景，日常使用稳定。
P029,卫仕低敏粮,猫粮,低敏粮,mid,卫仕 低敏粮，适合猫粮场景，日常使用稳定。
P030,MAG低敏粮,猫粮,低敏粮,premium,MAG 低敏粮，适合猫粮场景，日常使用稳定。
P031,鲜朗泌尿护理粮,猫粮,泌尿护理粮,budget,鲜朗 泌尿护理粮，适合猫粮场景，日常使用稳定。
P032,爱肯拿泌尿护理粮,猫粮,泌尿护理粮,mid,爱肯拿 泌尿护理粮，适合猫粮场景，日常使用稳定。
P033,渴望泌尿护理粮,猫粮,泌尿护理粮,premium,渴望 泌尿护理粮，适合猫粮场景，日常使用稳定。
P034,pidan泌尿护理粮,猫粮,泌尿护理粮,budget,pidan 泌尿护理粮，适合猫粮场景，日常使用稳定。
P035,petshy泌尿护理粮,猫粮,泌尿护理粮,mid,petshy 泌尿护理粮，适合猫粮场景，日常使用稳定。
P036,网易泌尿护理粮,猫粮,泌尿护理粮,premium,网易 泌尿护理粮，适合猫粮场景，日常使用稳定。
P037,妮可露泌尿护理粮,猫粮,泌尿护理粮,budget,妮可露 泌尿护理粮，适合猫粮场景，日常使用稳定。
P038,福丸泌尿护理粮,猫粮,泌尿护理粮,mid,福丸 泌尿护理粮，适合猫粮场景，日常使用稳定。
P039,卫仕泌尿护理粮,猫粮,泌尿护理粮,premium,卫仕 泌尿护理粮，适合猫粮场景，日常使用稳定。
P040,MAG泌尿护理粮,猫粮,泌尿护理粮,budget,MAG 泌尿护理粮，适合猫粮场景，日常使用稳定。
P041,鲜朗控重粮,猫粮,控重粮,mid,鲜朗 控重粮，适合猫粮场景，日常使用稳定。
P042,爱肯拿控重粮,猫粮,控重粮,premium,爱肯拿 控重粮，适合猫粮场景，日常使用稳定。
P043,渴望控重粮,猫粮,控重粮,budget,渴望 控重粮，适合猫粮场景，日常使用稳定。
P044,pidan控重粮,猫粮,控重粮,mid,pidan 控重粮，适合猫粮场景，日常使用稳定。
