id,behavior,scenario,possible_causes,training_advice,recommended_items
B001,半夜跑酷,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B002,抓沙发,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B003,乱尿,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B004,乱拉,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B005,过度舔毛,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B006,攻击主人,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B007,咬人,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B008,躲藏不出,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B009,见人就跑,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B010,护食,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B011,抢食,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B012,偷吃,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B013,挑食,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B014,叫春期嚎叫,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B015,持续喵喵叫,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B016,翻垃圾桶,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B017,钻床底不出来,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B018,追尾巴,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B019,啃电线,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B020,频繁踩奶,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B021,扑脚,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B022,突然炸毛,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B023,排队堵猫砂盆,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B024,新猫冲突,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B025,霸占高位,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B026,喷尿标记,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B027,外出应激,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B028,剪指甲抗拒,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B029,洗澡抗拒,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
B030,看病运输应激,家庭日常场景,精力过剩、应激、安全感不足或环境管理问题,先排除健康问题，再做正向引导，增加陪玩和稳定作息。,逗猫棒|猫抓板|费洛蒙
